Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 Egzaminas
Vardas1 Pavarde1 5 4 3 8 10 8 3 1 5 4
Vardas2 Pavarde2 9 9 5 6 4 6 3 1 6 4
Vardas3 Pavarde3 5 9 2 9 7 5 5 3 4 2
Vardas4 Pavarde4 7 2 8 7 7 9 1 3 7 8
Vardas5 Pavarde5 4 1 2 1 9 7 7 1 8 9
Vardas6 Pavarde6 7 6 1 7 1 4 3 3 3 4
Vardas7 Pavarde7 4 5 1 4 4 3 2 7 6 7
Vardas8 Pavarde8 7 7 3 8 10 2 6 8 9 8
Vardas9 Pavarde9 6 4 8 6 1 3 9 2 6 7
Vardas10 Pavarde10 3 8 7 2 8 8 10 5 9 4
Vardas11 Pavarde11 6 2 3 4 6 1 2 7 1 10
Vardas12 Pavarde12 2 9 8 7 9 1 1 1 9 3
Vardas13 Pavarde13 7 7 2 1 2 6 6 5 8 6
Vardas14 Pavarde14 10 7 4 6 4 1 8 4 3 8
Vardas15 Pavarde15 9 7 3 1 6 5 6 8 3 2
Vardas16 Pavarde16 8 2 10 4 1 3 6 3 9 8
Vardas17 Pavarde17 7 4 10 10 9 7 1 7 6 8
Vardas18 Pavarde18 8 1 8 5 8 4 8 9 9 3
Vardas19 Pavarde19 2 7 4 4 1 1 7 4 1 7
Vardas20 Pavarde20 8 2 6 1 1 1 2 5 7 9
Vardas21 Pavarde21 6 4 8 5 4 9 7 6 8 9
Vardas22 Pavarde22 2 3 7 5 5 8 4 3 1 6
Vardas23 Pavarde23 10 1 3 5 3 6 7 10 3 1
Vardas24 Pavarde24 3 4 3 7 10 1 5 3 4 8
Vardas25 Pavarde25 1 10 3 9 8 6 3 9 7 7
Vardas26 Pavarde26 10 4 10 2 10 10 6 1 4 3
Vardas27 Pavarde27 10 1 3 4 1 10 2 2 10 8
Vardas28 Pavarde28 4 1 10 1 3 4 9 1 2 6
Vardas29 Pavarde29 3 7 3 10 3 2 10 1 3 3
Vardas30 Pavarde30 8 2 7 5 8 4 9 9 8 7
Vardas31 Pavarde31 1 5 4 7 6 3 9 5 3 3
Vardas32 Pavarde32 7 2 4 4 5 4 5 5 10 10
Vardas33 Pavarde33 9 9 6 2 7 6 8 5 2 4
Vardas34 Pavarde34 3 9 1 9 7 1 10 2 5 9
Vardas35 Pavarde35 5 7 5 8 8 4 5 10 8 10
Vardas36 Pavarde36 10 6 9 6 8 1 8 8 4 5
Vardas37 Pavarde37 7 2 5 1 2 10 2 6 6 9
Vardas38 Pavarde38 8 4 9 10 4 7 3 7 4 9
Vardas39 Pavarde39 1 2 5 6 9 9 7 7 7 7
Vardas40 Pavarde40 1 6 5 7 3 2 9 6 4 7
Vardas41 Pavarde41 9 10 2 9 3 6 10 8 5 2
Vardas42 Pavarde42 10 8 9 2 7 5 4 5 9 1
Vardas43 Pavarde43 5 1 2 3 5 5 10 3 6 1
